Row,Pos,砧忽縦,QWERTY,NW(key1),NE(key2),SW(key3),SE(key4)
1,1,1,1,loc esc,!, ,`
1,2,2,2,,@,~,
1,3,3,3,,#, , 
1,4,4,4,,$, , 
1,5,5,5,,%, , 
1,6,6,6,,^, , 
1,7,7,7,,&, , 
1,8,8,8,,*,, 
1,9,9,9,-,,_,
1,10,0,0,+,,=, 
2,1,げ,q,,,,
2,2,じ,w,,,,
2,3,ぇ,e,,,,
2,4,ぁ,r,,,,
2,5,さ,t, ,,,
2,6,に,y, ,#redo,<,>
2,7,づ,u, ,,(,)
2,8,ち,i, ,,{,}
2,9,だ,o, ,,[,]
2,10,つ,p,\\,,|,
3,1,け,a,loc tab,#select all,#menu, 
3,2,い,s, , ,,
3,3,し,d, , , , 
3,4,ぉ,f, , , , 
3,5,ぞ,g, , , , 
3,6,で,h, , ,,
3,7,っ,j, , ,,
3,8,た,k,, ,;,:
3,9,び,l,, ,\',"\"""
4,1,Shift,Shift, ,loc capslock,,
4,2,せ,z, ,#undo,, 
4,3,ぜ,x, ,#cut,, 
4,4,ず,c, ,#copy,,
4,5,そ,v, ,#paste,,
4,6,ば,b, ,#paste as plain text,,
4,7,ぬ,n,",",.,,
4,8,ぱ,m,/,?,,
4,9,Backspace,Backspace,delete, ,, 
