Row,Pos,QWERTY,Center(key0/c),NW(key1),NE(key2),SW(key3),SE(key4),N(key5),E(key6),S(key7),W(key8),Width,Shift,Height
1,1,1,1,!,,-,-,-,-,-,-,1,,
1,2,2,2,@,=,-,-,-,-,-,-,1,,
1,3,3,3,#,_,-,-,-,-,-,-,1,,
1,4,4,4,$,+,-,-,-,-,-,-,1,,
1,5,5,5,%,[,-,-,-,-,-,-,1,,
1,6,6,6,^,],-,-,-,-,-,-,1,,
1,7,7,7,&,{,-,-,-,-,-,-,1,,
1,8,8,8,*,},-,-,-,-,-,-,1,,
1,9,9,9,(,\\,-,-,-,-,-,-,1,,
1,10,0,0,),|,-,-,-,-,-,-,1,,
2,1,q,ㅂ,-,1,-,loc esc,-,-,-,-,1,,
2,2,w,ㅈ,~,2,@,-,-,-,-,-,-,1,,
2,3,e,ㄷ,!,3,#,loc €,-,-,-,-,1,,
2,4,r,ㄱ,-,4,$,-,-,-,-,-,-,1,,
2,5,t,ㅅ,-,5,%,-,-,-,-,-,-,1,,
2,6,y,ㅛ,-,6,^,-,-,-,-,-,-,1,,
2,7,u,ㅕ,-,7,&,-,-,-,-,-,-,1,,
2,8,i,ㅑ,-,8,*,-,-,-,-,-,-,1,,
2,9,o,ㅐ,-,9,(,),-,-,-,-,-,-,1,,
2,10,p,ㅔ,-,0,-,-,-,-,-,-,1,,
3,1,a,ㅁ,loc tab,`,-,-,-,-,-,-,1,0.5,
3,2,s,ㄴ,-,-,loc §,loc ß,-,-,-,-,1,,
3,3,d,ㅇ,-,-,-,-,-,-,-,-,1,,
3,4,f,ㄹ,-,-,-,-,-,-,-,-,1,,
3,5,g,ㅎ,-,-,-,-,-,-,-,-,1,,
3,6,h,ㅗ,-,-,=,-,-,-,-,-,1,,
3,7,j,ㅓ,-,-,{,},-,-,-,-,1,,
3,8,k,ㅏ,-,-,[,],-,-,-,-,1,,
3,9,l,ㅣ,-,-,\\,|,-,-,-,-,1,,
4,1,Shift,shift,-,-,loc capslock,-,-,-,-,-,1.5,,
4,2,z,ㅋ,-,-,-,-,-,-,-,-,1,,
4,3,x,ㅌ,-,-,loc †,-,-,-,-,-,1,,
4,4,c,ㅊ,-,-,<,.,-,-,-,-,1,,
4,5,v,ㅍ,-,-,>,,,-,-,-,-,1,,
4,6,b,ㅠ,-,-,?,/,-,-,-,-,1,,
4,7,n,ㅜ,-,-,:,;,-,-,-,-,1,,
4,8,m,ㅡ,-,-,"",',-,-,-,-,1,,
4,9,Backspace,backspace,-,-,delete,-,-,-,-,-,1.5,,
5,Ctrl,Ctrl,ctrl,loc switch_greekmath,loc meta,loc switch_clipboard,switch_numeric,-,-,-,-,1.7,,0.95
5,Fn,Fn,fn,loc alt,loc change_method,switch_emoji,config,-,-,-,-,1.1,,0.95
5,Space,Space,space,-,-,-,-,cursor_left,cursor_right,switch_forward,switch_backward,4.4,,0.95
5,Direction,Compose,loc compose,loc home,loc page_up,loc end,loc page_down,left,right,up,down,1.1,,0.95
5,Enter,Enter,enter,loc voice_typing,action,-,-,-,-,-,-,1.7,,0.95
